,trial,n,r,order,SNR,mode,slices,alpha,beta,delta,gamma,time,adaptive,inner_als,rel_error,matrix budget,total budget,revealed,post_als_rel_error,just_als_rel_error
54,4,90,9,3,inf,deli,2,1.0,0.5,8.0,0.7,1.8837362136691809,True,False,0.0067781019870921,14742,21222,0.0291111111111111,0.0007633506933448,0.1403947181261037
55,5,90,9,3,inf,deli,2,1.0,0.5,8.0,0.7,1.4365660436451435,True,False,8.344904921087937e-14,14742,21222,0.0291111111111111,7.527469461666278e-15,0.1496276117404267
56,6,90,9,3,inf,deli,2,1.0,0.5,8.0,0.7,1.946292009204626,True,False,0.0160889572556179,14742,21222,0.0291111111111111,0.0062115531750549,0.1454886186525697
57,7,90,9,3,inf,deli,2,1.0,0.5,8.0,0.7,1.553405424579978,True,False,4.615195178997293e-14,14742,21222,0.0291111111111111,1.123218418327283e-14,0.1487448603418209
58,8,90,9,3,inf,deli,2,1.0,0.5,8.0,0.7,1.5819481667131186,True,False,1.0379447549688475e-13,14742,21222,0.0291111111111111,4.4761845365036384e-14,0.1419667530313765
59,9,90,9,3,inf,deli,2,1.0,0.5,8.0,0.7,2.468263529241085,True,False,0.0691501516709787,14742,21222,0.0291111111111111,0.0088708551375982,0.1548351221613675
60,0,120,12,3,inf,deli,2,1.0,0.5,8.0,0.7,5.3731068056076765,True,False,0.0114441497681634,26208,37728,0.0218333333333333,0.0066370001969934,0.1559248333931114
61,1,120,12,3,inf,deli,2,1.0,0.5,8.0,0.7,5.067564116790891,True,False,0.0030584858601003,26208,37728,0.0218333333333333,0.0013105664923411,0.1337209004497972
62,2,120,12,3,inf,deli,2,1.0,0.5,8.0,0.7,5.047296609729528,True,False,0.0200019966019795,26208,37728,0.0218333333333333,0.0050773213453814,0.149662841256315
63,3,120,12,3,inf,deli,2,1.0,0.5,8.0,0.7,3.9059774596244097,True,False,2.30035735813472e-13,26208,37728,0.0218333333333333,1.303147493128145e-13,0.1483293085148538
64,4,120,12,3,inf,deli,2,1.0,0.5,8.0,0.7,3.8609673622995615,True,False,4.4054625007424096e-14,26208,37728,0.0218333333333333,1.983141180814081e-14,0.1452487143353691
65,5,120,12,3,inf,deli,2,1.0,0.5,8.0,0.7,5.128693440929055,True,False,0.0013651481218374,26208,37728,0.0218333333333333,0.0003148159223476,0.1347918934158782
66,6,120,12,3,inf,deli,2,1.0,0.5,8.0,0.7,5.155331037938595,True,False,0.0235723917830533,26208,37728,0.0218333333333333,0.0129707609045278,0.139504395637582
67,7,120,12,3,inf,deli,2,1.0,0.5,8.0,0.7,5.172564495354891,True,False,0.0060700541330303,26208,37728,0.0218333333333333,0.0008605577507375,0.1339072185641701
68,8,120,12,3,inf,deli,2,1.0,0.5,8.0,0.7,5.144970761612058,True,False,0.1189283067397805,26208,37728,0.0218333333333333,0.0293316869356304,0.141500349165559
69,9,120,12,3,inf,deli,2,1.0,0.5,8.0,0.7,5.189498400315642,True,False,0.019012777130897,26208,37728,0.0218333333333333,0.013748855678946,0.1445845701733918
70,0,50,5,3,inf,deli,2,1.0,0.5,8.0,0.7,0.1573491020244546,True,False,6.640407669194816e-15,4550,6550,0.0524,4.5120064897492696e-15,0.1555197099468805
71,1,50,5,3,inf,deli,2,1.0,0.5,8.0,0.7,0.1611955629778094,True,False,3.736209353449805e-15,4550,6550,0.0524,1.7401899398456213e-15,0.1937355908800916
72,2,50,5,3,inf,deli,2,1.0,0.5,8.0,0.7,0.2042780300253071,True,False,0.0011506602729455,4550,6550,0.0524,0.0005158795811028,0.1598825723564331
73,3,50,5,3,inf,deli,2,1.0,0.5,8.0,0.7,0.1212337850010953,True,False,1.2340903884011098e-14,4550,6550,0.0524,5.2505451299870976e-15,0.1594125139261602
74,4,50,5,3,inf,deli,2,1.0,0.5,8.0,0.7,0.1210212959558703,True,False,2.4284061153938096e-14,4550,6550,0.0524,1.0983150713424665e-14,0.1816040661214337
75,5,50,5,3,inf,deli,2,1.0,0.5,8.0,0.7,0.1650803070515394,True,False,0.0004612245337838,4550,6550,0.0524,0.000114404308523,0.155716033746989
76,6,50,5,3,inf,deli,2,1.0,0.5,8.0,0.7,0.1235448539955541,True,False,7.156175893913653e-12,4550,6550,0.0524,2.851316027885679e-12,0.1729100393899601
77,7,50,5,3,inf,deli,2,1.0,0.5,8.0,0.7,0.1215256130089983,True,False,4.978351059191354e-15,4550,6550,0.0524,2.038293094065696e-15,0.1765571266223697
78,8,50,5,3,inf,deli,2,1.0,0.5,8.0,0.7,0.1209788169944658,True,False,8.327378615414473e-15,4550,6550,0.0524,2.5587431916194155e-15,0.1732320273893375
79,9,50,5,3,inf,deli,2,1.0,0.5,8.0,0.7,0.1213639790075831,True,False,2.5868522008287425e-14,4550,6550,0.0524,2.6002188749226815e-15,0.1585145367962592
