,trial,n,r,order,SNR,mode,alpha,sampling,tolerance,time,rel_error,revealed,post_als_rel_error
59,9,50,8,3,inf,seq,1.0,"[0.1, 0.1]",0.001,3.552499886602164,20.64015956172182,0.1998,20.411145854269183
60,0,50,8,3,20.0,seq,1.0,"[0.7, 0.1]",0.001,3.376248482614756,0.0154970167960364,0.7992,0.0344210781682795
61,1,50,8,3,20.0,seq,1.0,"[0.7, 0.1]",0.001,3.477649902924896,0.01441326214539,0.79956,0.038436673172235
62,2,50,8,3,20.0,seq,1.0,"[0.7, 0.1]",0.001,3.4042126843705773,0.014909208530002,0.78556,0.0319906473161323
63,3,50,8,3,20.0,seq,1.0,"[0.7, 0.1]",0.001,3.377193628810346,0.0135831729623165,0.77144,0.0320334951463137
64,4,50,8,3,20.0,seq,1.0,"[0.7, 0.1]",0.001,3.397477140650153,0.0137145248656585,0.79932,0.0331386204547896
65,5,50,8,3,20.0,seq,1.0,"[0.7, 0.1]",0.001,3.4314168579876423,0.0140814578592051,0.79944,0.0372311122469648
66,6,50,8,3,20.0,seq,1.0,"[0.7, 0.1]",0.001,3.347070979885757,0.0146964384061054,0.79944,0.0351662763211919
67,7,50,8,3,20.0,seq,1.0,"[0.7, 0.1]",0.001,3.389092692174017,0.0139490387215651,0.79956,0.0418270021237033
68,8,50,8,3,20.0,seq,1.0,"[0.7, 0.1]",0.001,3.342416564002633,0.0143472181819475,0.79932,0.0320744700208891
69,9,50,8,3,20.0,seq,1.0,"[0.7, 0.1]",0.001,3.343246252276004,0.0138835219454159,0.79932,0.0365858946100616
70,0,50,8,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.777444881387055,0.0067296727445608,0.17224,0.0400316348676264
71,1,50,8,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.7939826473593712,0.0096103525577522,0.18424,0.0349622519201662
72,2,50,8,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.5534746665507555,0.0026448626187726,0.16024,0.0334884477436464
73,3,50,8,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.6053702123463154,0.0057624068391818,0.16624,0.0314353762754136
