,Unnamed: 0,trial,n,r,order,SNR,mode,slices,alpha,beta,delta,gamma,time,adaptive,inner_als,rel_error,matrix budget,total budget,revealed,post_als_rel_error,just_als_rel_error
52,52,2,50,4,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2030507189992931,True,False,0.0289749897007043,4540,6140,0.04912,0.0040281333525213,0.1746197761615589
53,53,3,50,4,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2025804209988564,True,False,0.0005429335059809,4540,6140,0.04912,9.789848183072844e-05,0.162352775831098
54,54,4,50,4,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.1826960039979894,True,False,1.9686550905892385e-05,4540,6140,0.04912,2.575395285388031e-06,0.1770320559138582
55,55,5,50,4,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.1427170429960824,True,False,1.899730712018052e-06,4540,6140,0.04912,2.390625743617105e-07,0.1593877594271815
56,56,6,50,4,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.1651134600033401,True,False,2.291372097717885e-05,4540,6140,0.04912,2.433666961893435e-06,0.1589572372605311
57,57,7,50,4,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.1429127929950482,True,False,1.2861177107560648e-05,4540,6140,0.04912,7.80410233888373e-07,0.1670173735484739
58,58,8,50,4,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.1432857170002535,True,False,4.615080146249056e-06,4540,6140,0.04912,4.404855455653358e-07,0.1458270180653928
59,59,9,50,4,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2041061810014071,True,False,9.372842350602882e-05,4540,6140,0.04912,8.246242898566524e-06,0.1714809531529218
60,60,0,50,4,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1073791552335023,True,False,2.441852973913764e-05,4540,6140,0.04912,4.537127690360566e-06,0.1929202083693672
61,61,1,50,4,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1065297201275825,True,False,2.644614048731685e-05,4540,6140,0.04912,2.355313816855181e-06,0.1470519600601117
62,62,2,50,4,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1095727197825908,True,False,2.769972015205058e-05,4540,6140,0.04912,3.766024022895172e-06,0.1892566781865599
63,63,3,50,4,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1252227257937193,True,False,8.139892812905088e-05,4540,6140,0.04912,4.79329799199258e-05,0.1677536987660539
64,64,4,50,4,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1249582674354314,True,False,0.0033416206191404,4550,6150,0.0492,0.0003914119732381,0.1736237267965951
65,65,5,50,4,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1335086300969123,True,False,3.528121493084024e-05,4540,6140,0.04912,1.2631147104697725e-05,0.1506715303563
66,66,6,50,4,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1261718906462192,True,False,0.0001237980441482,4540,6140,0.04912,1.731934362118389e-05,0.1481786214577067
67,67,7,50,4,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1246490105986595,True,False,0.0004212397452452,4540,6140,0.04912,3.296149402301995e-05,0.1552830469649934
68,68,8,50,4,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1253506168723106,True,False,0.0023088212088873,4540,6140,0.04912,0.0001840701594989,0.1763555735983983
69,69,9,50,4,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1832825187593698,True,False,0.0007650909246181,4540,6140,0.04912,7.816423029432562e-05,0.1725767580468989
70,70,0,50,8,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.1969839967787265,True,False,0.1828323856920394,4900,8100,0.0648,0.0686868129947538,0.1557832240430843
71,71,1,50,8,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.1957779508084058,True,False,0.2106902740060902,4900,8100,0.0648,0.0804923237428038,0.1570178578697739
72,72,2,50,8,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.1973871458321809,True,False,0.2047801627170842,4900,8100,0.0648,0.0716073386829456,0.1797729664615824
73,73,3,50,8,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.1948007196187973,True,False,0.5720175021028343,4900,8100,0.0648,0.0980870510924806,0.1586477221748624
74,74,4,50,8,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.1954322252422571,True,False,0.1874876245985974,4900,8100,0.0648,0.0573116561270426,0.1567228483429031
75,75,5,50,8,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.1957732439041137,True,False,0.4264295147673722,4900,8100,0.0648,0.1019538038775416,0.1726091363018826
76,76,6,50,8,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.1962602995336055,True,False,0.1530791417945066,4900,8100,0.0648,0.0667295620821546,0.1657401869194225
77,77,7,50,8,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.1925929635763168,True,False,0.1645173791672199,4900,8100,0.0648,0.0634959659074863,0.1523537170973267
78,78,8,50,8,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.1967328768223524,True,False,0.307573273957904,4900,8100,0.0648,0.0933323173571031,0.1310695587771387
79,79,9,50,8,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.1961572542786598,True,False,0.2441759432026899,4900,8100,0.0648,0.0907522510867581,0.14872104772527
100,100,0,50,8,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.2717043478041887,True,False,0.001784931488674,4580,7780,0.06224,0.0004737144559956,0.138601788607838
101,101,1,50,8,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.1888320371508598,True,False,0.0007568780297292,4590,7790,0.06232,0.0001997213394211,0.139784824605895
102,102,2,50,8,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.1891145799309015,True,False,0.0011227781520601,4600,7800,0.0624,0.0004982633465216,0.1694066657385635
103,103,3,50,8,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.2121924180537462,True,False,0.0033941102516863,4580,7780,0.06224,0.0009680674319617,0.145247462867225
104,104,4,50,8,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.2177142389118671,True,False,0.0135310549874269,4590,7790,0.06232,0.0036113944333598,0.1426514451262824
105,105,5,50,8,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.21688630618155,True,False,0.0319610247493653,4600,7800,0.0624,0.0224422029611295,0.1387128892387481
106,106,6,50,8,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.2127403728663921,True,False,0.0120958725788285,4590,7790,0.06232,0.0014211680985824,0.155236982151503
107,107,7,50,8,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.2146628946065902,True,False,0.0129272049153477,4580,7780,0.06224,0.003191181947227,0.1704099063751917
108,108,8,50,8,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.2145458236336708,True,False,0.00051658430654,4580,7780,0.06224,0.0001317521232779,0.1738455800837529
109,109,9,50,8,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.21440957672894,True,False,0.0029725026805625,4580,7780,0.06224,0.000510659599192,0.157283101237125
110,110,0,50,8,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.2499448180024046,True,False,0.0040309066295216,4580,7780,0.06224,0.0018209299311592,0.1348653510265022
111,111,1,50,8,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.2598873370006913,True,False,0.0001720769949611,4580,7780,0.06224,4.372719569952039e-05,0.1500917377649012
112,112,2,50,8,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.2696336959998007,True,False,0.0001243700867423,4580,7780,0.06224,2.912861868806302e-05,0.1530471773684014
