,trial,n,r,order,SNR,mode,slices,alpha,beta,delta,gamma,time,adaptive,inner_als,rel_error,matrix budget,total budget,revealed,post_als_rel_error,just_als_rel_error
293,3,100,10,4,inf,deli,2,2.0,0.5,8.0,0.4,416.27522740513086,True,False,0.0813410618755594,4000,23851,0.00023851,0.0043632857368587,0.1196768352475744
294,4,100,10,4,inf,deli,2,2.0,0.5,8.0,0.4,417.2783859744668,True,False,0.1435245398374168,4000,23840,0.0002384,0.0242507340954965,0.115152032896127
295,5,100,10,4,inf,deli,2,2.0,0.5,8.0,0.4,418.4461812730879,True,False,0.0310649226339398,4000,23861,0.00023861,0.0089098897369256,0.1097415825240591
296,6,100,10,4,inf,deli,2,2.0,0.5,8.0,0.4,416.6454055998474,True,False,0.0538805091089425,4000,23861,0.00023861,0.013692020623057,0.1172807016540162
297,7,100,10,4,inf,deli,2,2.0,0.5,8.0,0.4,418.809366941452,True,False,0.1919897206743837,4000,23844,0.00023844,0.0246471948106914,0.1148298643491943
298,8,100,10,4,inf,deli,2,2.0,0.5,8.0,0.4,414.8658720478416,True,False,0.0335801738752441,4000,23854,0.00023854,0.0139373608096105,0.1201884016650318
299,9,100,10,4,inf,deli,2,2.0,0.5,8.0,0.4,422.1745914723724,True,False,0.0293995727378628,4000,23853,0.00023853,0.0085247167689952,0.1176006899140509
300,0,100,15,4,inf,deli,2,2.0,0.5,8.0,0.1,564.9793857522309,False,False,0.3027743309693705,1000,25982,0.00025982,0.0608423760555194,0.1197740562748536
301,1,100,15,4,inf,deli,2,2.0,0.5,8.0,0.1,549.6304727578536,False,False,0.5817034060720897,1000,25969,0.00025969,0.0546863447160424,0.121697796249377
302,2,100,15,4,inf,deli,2,2.0,0.5,8.0,0.1,377.82234842376783,False,False,0.9377907435316531,1000,25973,0.00025973,0.057806477466458,0.1246684848466753
303,3,100,15,4,inf,deli,2,2.0,0.5,8.0,0.1,606.9919773023576,False,False,0.6223832191255306,1000,25978,0.00025978,0.0610778638635528,0.1278646144134311
304,4,100,15,4,inf,deli,2,2.0,0.5,8.0,0.1,605.3418832127936,False,False,0.5350595927741673,1000,25970,0.0002597,0.0564430470025516,0.1175603737032658
305,5,100,15,4,inf,deli,2,2.0,0.5,8.0,0.1,555.0387040898204,False,False,0.3125994013804265,1000,25968,0.00025968,0.0403135213499404,0.1276983488992228
306,6,100,15,4,inf,deli,2,2.0,0.5,8.0,0.1,609.5442210831679,False,False,0.6515001661114374,1000,25976,0.00025976,0.0576562072030562,0.1256999040980938
307,7,100,15,4,inf,deli,2,2.0,0.5,8.0,0.1,432.3862651791424,False,False,0.1397586019239617,1000,25983,0.00025983,0.040326261827101,0.1216973318730224
308,8,100,15,4,inf,deli,2,2.0,0.5,8.0,0.1,443.02474665502086,False,False,1.2523270979002592,1000,25973,0.00025973,0.07365537029272,0.127875214559461
309,9,100,15,4,inf,deli,2,2.0,0.5,8.0,0.1,541.8378277742304,False,False,0.2135863878794728,1000,25980,0.0002598,0.0412586353611156,0.1184811595411884
310,0,100,5,4,inf,deli,2,2.0,0.5,8.0,0.8,407.1204212848097,True,False,0.0001822082622419,8000,23895,0.00023895,7.34373313535558e-05,0.1079023639873306
311,1,100,5,4,inf,deli,2,2.0,0.5,8.0,0.8,487.88038770854473,True,False,0.0375105040170408,8000,23891,0.00023891,0.0031997078184644,0.1117424710934264
312,2,100,5,4,inf,deli,2,2.0,0.5,8.0,0.8,475.7104168906808,True,False,0.0549190396519506,8000,23898,0.00023898,0.0133099995364091,0.1164213405552858
313,3,100,5,4,inf,deli,2,2.0,0.5,8.0,0.8,471.352909008041,True,False,0.0110449020783035,8000,23895,0.00023895,0.0038618992604373,0.1101834133459355
314,4,100,5,4,inf,deli,2,2.0,0.5,8.0,0.8,480.2212668955326,True,False,0.018270256261923,8000,23898,0.00023898,0.0050231670625866,0.1138354817628607
315,5,100,5,4,inf,deli,2,2.0,0.5,8.0,0.8,478.65560469962656,True,False,0.0007696507574465,8000,23905,0.00023905,0.000222602652528,0.1166368314061759
316,6,100,5,4,inf,deli,2,2.0,0.5,8.0,0.8,404.41343505494297,True,False,0.0003024663442105,8000,23895,0.00023895,0.0001617946424895,0.1149577732447032
317,7,100,5,4,inf,deli,2,2.0,0.5,8.0,0.8,477.6128162611276,True,False,0.0007503444276371,8000,23900,0.000239,0.0001924971571431,0.1140443920022559
318,8,100,5,4,inf,deli,2,2.0,0.5,8.0,0.8,473.484880130738,True,False,0.0007038895715475,8000,23894,0.00023894,0.0002330220197057,0.1063732157180603
319,9,100,5,4,inf,deli,2,2.0,0.5,8.0,0.8,479.3022972885519,True,False,0.0054704711999048,8000,23899,0.00023899,0.0020674384984725,0.1071732248501974
320,0,100,10,4,inf,deli,2,2.0,0.5,8.0,0.8,398.1788652651012,True,False,0.0436530181890911,8000,31787,0.00031787,0.0050719619233986,0.1268068501081853
321,1,100,10,4,inf,deli,2,2.0,0.5,8.0,0.8,401.33020860888064,True,False,0.0062710349940793,8000,31788,0.00031788,0.0016900481974459,0.121069077605586
322,2,100,10,4,inf,deli,2,2.0,0.5,8.0,0.8,398.2131269238889,True,False,0.0241488007660899,8000,31794,0.00031794,0.0067641389327038,0.1116969045510876
323,3,100,10,4,inf,deli,2,2.0,0.5,8.0,0.8,399.3609117027372,True,False,0.0035157181691438,8000,31793,0.00031793,0.0009404879885108,0.1253135184417848
324,4,100,10,4,inf,deli,2,2.0,0.5,8.0,0.8,399.2569523882121,True,False,0.0011402738625442,8000,31797,0.00031797,0.0003386876204201,0.1200677569201419
325,5,100,10,4,inf,deli,2,2.0,0.5,8.0,0.8,399.592004980892,True,False,0.0386162746204565,8000,31788,0.00031788,0.0050978286693333,0.1113133158135625
326,6,100,10,4,inf,deli,2,2.0,0.5,8.0,0.8,400.6347341593355,True,False,0.0053353442474439,8000,31786,0.00031786,0.0011792469001974,0.1193540669677076
327,7,100,10,4,inf,deli,2,2.0,0.5,8.0,0.8,405.0213054623455,True,False,0.0098662637210027,8000,31791,0.00031791,0.0029536301756441,0.1213860689328067
328,8,100,10,4,inf,deli,2,2.0,0.5,8.0,0.8,400.06779527291656,True,False,0.000987257706111,8000,31796,0.00031796,0.0003979140724717,0.1237742791048837
329,9,100,10,4,inf,deli,2,2.0,0.5,8.0,0.8,399.36761349625885,True,False,0.1652561172024184,8000,31796,0.00031796,0.0348189034425509,0.1259428609567052
330,0,100,15,4,inf,deli,2,2.0,0.5,8.0,0.7,621.8933245119406,False,False,0.0555411200956706,7000,37832,0.00037832,0.0100240835742151,0.1232413587894196
331,1,100,15,4,inf,deli,2,2.0,0.5,8.0,0.7,612.0065671290504,False,False,0.0024697130537813,7000,37822,0.00037822,0.000625635604623,0.1231473931690223
332,2,100,15,4,inf,deli,2,2.0,0.5,8.0,0.7,618.2938605539966,False,False,0.0054673905342,7000,37839,0.00037839,0.0009260364409514,0.1265184747414904
333,3,100,15,4,inf,deli,2,2.0,0.5,8.0,0.7,608.3697641359176,False,False,0.0076904990047971,7000,37823,0.00037823,0.0013389585871682,0.11951298333156
334,4,100,15,4,inf,deli,2,2.0,0.5,8.0,0.7,618.0993057449814,False,False,0.0059490747467328,7000,37843,0.00037843,0.00287764975507,0.1281868287857962
335,5,100,15,4,inf,deli,2,2.0,0.5,8.0,0.7,614.971875536954,False,False,0.0179052424987943,7000,37831,0.00037831,0.0039869208105481,0.1223260034002714
336,6,100,15,4,inf,deli,2,2.0,0.5,8.0,0.7,610.2086608470418,False,False,0.0730518058012159,7000,37845,0.00037845,0.0028245286447476,0.1192696244457441
337,7,100,15,4,inf,deli,2,2.0,0.5,8.0,0.7,614.9535715619568,False,False,0.094122755563852,7000,37858,0.00037858,0.0049065912569972,0.1211549100137007
338,8,100,15,4,inf,deli,2,2.0,0.5,8.0,0.7,620.5307634710334,False,False,0.0060629746885671,7000,37840,0.0003784,0.0013987103634628,0.1189747834345188
339,9,100,15,4,inf,deli,2,2.0,0.5,8.0,0.7,599.6394673059694,False,False,0.0199135276135423,7000,37831,0.00037831,0.003448173371424,0.1196155995382327
340,0,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,550.5398519840091,False,False,0.2096851938426018,1000,17984,0.00017984,0.046475326279016,0.1136180167397162
341,1,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,473.3707252871245,False,False,0.8070840705404998,1000,17988,0.00017988,0.0720745331815138,0.1205738932647589
