,trial,n,r,order,SNR,mode,alpha,sampling,tolerance,time,rel_error,revealed,post_als_rel_error
52,2,90,9,3,inf,seq,1,"[0.7, 0.1]",0.001,40.45365809649229,0.0022718186323179,0.177,0.0304864106029537
53,3,90,9,3,inf,seq,1,"[0.7, 0.1]",0.001,41.61419818922877,0.005935789672569,0.1925555555555555,0.0311597974870626
54,4,90,9,3,inf,seq,1,"[0.7, 0.1]",0.001,41.90180331468582,0.0045070189425848,0.2003333333333333,0.0297471442039203
55,5,90,9,3,inf,seq,1,"[0.7, 0.1]",0.001,38.36699517816305,0.0049270243662245,0.1925555555555555,0.0305225326668463
56,6,90,9,3,inf,seq,1,"[0.7, 0.1]",0.001,31.963515968993303,0.0070097876071182,0.2003333333333333,0.031663083417534
57,7,90,9,3,inf,seq,1,"[0.7, 0.1]",0.001,31.92551325261593,0.0057867509924302,0.2003333333333333,0.0361724512254767
58,8,90,9,3,inf,seq,1,"[0.7, 0.1]",0.001,31.63450645841658,0.0046279668595751,0.1925555555555555,0.0289524570596419
59,9,90,9,3,inf,seq,1,"[0.7, 0.1]",0.001,32.26050006784499,0.0087525487497694,0.2081111111111111,0.0310610930807621
60,0,50,5,3,inf,seq,1,"[0.7, 0.1]",0.001,1.103028992190957,2.6835042595871847e-15,0.1686,0.0426135631095029
61,1,50,5,3,inf,seq,1,"[0.7, 0.1]",0.001,1.1458569429814816,0.0031739555028302,0.1826,0.0304227602273561
62,2,50,5,3,inf,seq,1,"[0.7, 0.1]",0.001,1.0933009441941977,0.0022697883718459,0.1686,0.0362877618030218
63,3,50,5,3,inf,seq,1,"[0.7, 0.1]",0.001,1.0970101729035378,0.000463493509812,0.1686,0.0429512546700691
64,4,50,5,3,inf,seq,1,"[0.7, 0.1]",0.001,1.146185101941228,0.003552998029118,0.1826,0.0359962927901386
65,5,50,5,3,inf,seq,1,"[0.7, 0.1]",0.001,1.1023625154048204,0.0025360292183469,0.1686,0.0563462571002114
66,6,50,5,3,inf,seq,1,"[0.7, 0.1]",0.001,1.1020057890564203,0.0029996313198744,0.1686,0.0634590368323802
67,7,50,5,3,inf,seq,1,"[0.7, 0.1]",0.001,1.0997173562645912,0.0005553251917238,0.1686,0.0575261090753614
68,8,50,5,3,inf,seq,1,"[0.7, 0.1]",0.001,1.102409053593874,0.0054973632991035,0.1686,0.0530750586980631
69,9,50,5,3,inf,seq,1,"[0.7, 0.1]",0.001,1.1577350459992886,0.0010020731800564,0.1826,0.05258165173734
70,0,100,10,3,inf,seq,1,"[0.7, 0.1]",0.001,70.85359611362219,0.0080113029958839,0.1973,0.0326145924891471
71,1,100,10,3,inf,seq,1,"[0.7, 0.1]",0.001,70.20425835251808,0.0054742907120779,0.1903,0.0277206414349128
72,2,100,10,3,inf,seq,1,"[0.7, 0.1]",0.001,70.11913085728884,0.0048077830474868,0.1973,0.0256612498064544
73,3,100,10,3,inf,seq,1,"[0.7, 0.1]",0.001,69.10721231810749,0.0054519305155892,0.1903,0.019548519242039
74,4,100,10,3,inf,seq,1,"[0.7, 0.1]",0.001,73.2512199357152,0.0106400519715149,0.2183,0.027693379519837
75,5,100,10,3,inf,seq,1,"[0.7, 0.1]",0.001,70.76149036735296,0.0076823117350316,0.1973,0.0379697211162314
76,6,100,10,3,inf,seq,1,"[0.7, 0.1]",0.001,71.61346824839711,0.009620763828989,0.2113,0.0344296116246188
77,7,100,10,3,inf,seq,1,"[0.7, 0.1]",0.001,69.16537451185286,0.0052747514654001,0.1903,0.0297445570580532
78,8,100,10,3,inf,seq,1,"[0.7, 0.1]",0.001,74.78698878921568,0.0097109189491933,0.2253,0.0284753505697686
79,9,100,10,3,inf,seq,1,"[0.7, 0.1]",0.001,69.39276454038918,0.0049322807948002,0.1903,0.0259402042059301
